tema,quantidade_fontes,quantidade_documentos,quantidade_pdfs,quantidade_paginas_oficiais,documentos_brasileiros,documentos_parana,documentos_extraidos,nivel_cobertura,pendencias
"Solo e análise de solo","6","6","6","0","4","1","6","FORTE",""
"pH e acidez","4","4","4","0","4","0","4","MÉDIO",""
"Correção do solo","4","4","4","0","3","0","4","MÉDIO",""
"Nitrogênio","3","3","3","0","1","0","3","MÉDIO",""
"Fósforo","3","3","3","0","1","0","3","MÉDIO",""
"Potássio","4","4","4","0","2","0","4","MÉDIO",""
"Umidade do solo","8","8","8","0","5","0","8","FORTE",""
"Irrigação","3","3","3","0","2","0","3","MÉDIO",""
"Condutividade elétrica","5","5","5","0","4","0","5","FORTE",""
"Sensores agrícolas","9","9","9","0","6","0","9","FORTE",""
"Calibração de sensores","6","6","6","0","3","0","6","FORTE",""
"Limitações de sensores NPK de baixo custo","4","4","4","0","1","0","4","MÉDIO",""
"Batata-doce","1","1","1","0","1","0","1","FRACO","menos de 3 fontes confiáveis aceitas"
"Soja","2","2","2","0","2","2","2","FRACO","menos de 3 fontes confiáveis aceitas"
"Milho","2","2","2","0","2","1","2","FRACO","menos de 3 fontes confiáveis aceitas"
"Manejo aplicável ao Paraná e Sul do Brasil","5","5","5","0","5","4","5","FORTE",""
